PID,Social Media Post,Normalized Claim
2128,"Five visits that have defined European history most in the post WWII era: Kennedy in Berlin, Brandt in Warsaw, John Paul II in Warsaw, Reagan in Berlin and Biden in Kyiv.","Five visits that have defined European history most in the post WWII era: Kennedy in Berlin, Brandt in Warsaw, John Paul II in Warsaw, Reagan in Berlin and Biden in Kyiv."
2129,Where is the A-10s when you need one!,"""Antifa encampment spotted in downtown Portland"""
2130,"After the Miss India contest, once again the issue of farmers' protest echoed on MTV, judges have given a standing ovation... Now that the matter has come out, it will go far...",A rap song in support of the farmers’ protest was played recently on MTV channel.
2131,"DO YOU KNOW,
THAT GROUNDNUT CAN TIGHTEN YOUR PUSSY WITHOUT SIDE EFFECT? TRY THIS AND THANK ME LATER.
. GOD IS WONDERFUL! DIRECTION/ PROCEDURE :
Get raw groundnut ..Sun dry it for 2days ,soak together with the shell/back overnight with water drink it in the morning for 4days stop it on 5th day to see the results. You can re soak it with water every day if the water get finished.. Please Don't take too much other wise the place go too tight o, except you want it to be broken the second time. Lol. You can still use your Google to know more about it and thank me later.",groundnut water tightens the vagina
2132,"New: Joe Biden is running a new TV ad answering the Bernie Sanders campaign on Social Security. 
 
 ""Negative ads will only help Donald Trump,"" says narrator
 
 Already aired in FL, MI, OH, MO, IL","""PolitiFact has called the Sanders campaign’s attacks false."""
2133,WATCH LIVE: Blue Origin's rocket is minutes ahead of the historic launch https://cbsn.ws/2W5W4ol,Says “Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.”
2134,"Anil Upadhyay is a BJP MLA, now tell how the general public will be safe when the police are not safe from these people.","Anil Upadhyay is a BJP MLA, now tell how the general public will be safe when the police are not safe from these people."
2135,"1/ After taking COVID and flu shots, Angela West tested positive for COVID yesterday, Friday. Col. West is experiencing a low grade fever and light body aches. Out of concern for public health, Col. West is suspending in-person events until receiving an all-clear indication.","""Instead of jabbing Americans ... with a dangerous shot which injects them with these spike proteins . . . guess what? I now have natural immunity and double the antibodies, and that's science."""
2136,Soon after injected covid-19 vaccine in india,Newspaper clipping with a report of 40 students getting hospitalized after the COVID-19 vaccination in India
2137,"BREAKING: Lancaster County noticed issues with their mail-in ballots not scanning properly this morning. Officials said there was an issue with the identification code on the ballots. There will be a press conference to come - catch it on 
 @CBS21NEWS
 . Full press release below:",The problem with mail ballots in Lancaster County is a sign of “voter fraud.”
2138,Investments in the CHIPS and Science Law will create more than 1 million construction jobs alone over the next 6 years building semiconductor factories in America.,“Investments in the CHIPS and Science Law will create more than 1 million construction jobs alone over the next 6 years building semiconductor factories in America.”
2139,"If we were in a real pandemic people would be dying in their homes by the thousands, hazmat teams would be removing bodies daily, mass grave sites would be everywhere. In over two years we have seen nothing like this anywhere in the world. Stop calling this a pandemic, its a lie.",The COVID-19 pandemic is fake
2140,"Everyone is feeling pain at the pump. It started well over a year ago. Diesel fuel in Sept 2020 was $2.09, six months later in March 2021 $2.99.
 If 
 @GovEvers
  had passed his tax increases, these fuel prices would be at least a dime higher.","If Wisconsin Gov. Tony Evers ""had passed his (gas) tax increases ... fuel prices would be at least a dime higher. "
2141,"body, such as aluminum deposits, which then serve as receivers and transmitters in the brain. Aluminum has a special affinity for neurological tissues.

9. What causes autism, multiple sclerosis, Alzheimer's and dementia due to the accumulation of toxic substances in the brain?","A social media post claims soy contains aluminum harmful enough to harm human brain. We fact-checked and found the claim is Half True. Soy does contain aluminum, however it is not clear whether regular consumption of soy will harm human body. While aluminium is considered a risk factor for dementia, extensive studies are going on to prove the same. No scientific evidence confirms that all Alzheimer’s and other dementia patients have high aluminium levels."
2142,"Tonight at 00:30 to 03:30am make sure to turn off your phone, cellular, tablet etc & put far away from your body. Singapore TV announced on the news! Please tell your family & friends! Tonight 12:30pm to 3:30am for our Planet will be very high radiation! Cosmic rays will pass close to Earth, So please turn off your cell phone! Do not leave your device close to your body, it can cause you terrible damage! Check Google & NASA BBC News! Send this message to all the people who matter to you.",A message has been put up on social media by various users over the last many years. The message asks users to switch off mobile phones ‘today’ since cosmic rays will be passing close to the earth thereby causing high radiation. We fact-check the claim and find that it is False.
2143,"It's fascinating how consistent the failure is. The range is 2.5 to 3 but most days it is around 2.75. 400 million xhots, trillions of dollars, the largest mobilization of government since WWII, all to INCREASE the fatality rate by 2.75x versus doing nothing at all. Astonishing.",“The vaccination campaign” increased COVID-19 deaths by 175% in one year.
2144,"The United States was supposed to be in Syria for 30 days, that was many years ago. We stayed and got deeper and deeper into battle with no aim in sight. When I arrived in Washington, ISIS was running rampant in the area. We quickly defeated 100% of the ISIS Caliphate,.....",Fact-checking Donald Trump’s claims about Syria and US troop withdrawal
